account,amount,symbol,memo
flaxz.alive,0.49294444,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.33731459,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.31813154,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.23514091,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.15275229,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.14343755,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.14134306,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.10306003,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.09041789,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.08265926,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.07968494,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.07457788,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.07391995,DHEDGE,Daily payout based on your ALIVE stake.
masoom,0.07379002,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.07246823,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.05519586,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04817969,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.04814995,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.04444941,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.04430748,DHEDGE,Daily payout based on your ALIVE stake.
primersion,0.04420159,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.04266098,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.04250053,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.04176502,DHEDGE,Daily payout based on your ALIVE stake.
oscarps,0.03982195,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.03472161,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.03471048,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03466623,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.03180285,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.03062449,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.02899115,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.02701288,DHEDGE,Daily payout based on your ALIVE stake.
captain.alive,0.02684141,DHEDGE,Daily payout based on your ALIVE stake.
saboin.alive,0.02655765,DHEDGE,Daily payout based on your ALIVE stake.
awah,0.02590022,DHEDGE,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02574649,DHEDGE,Daily payout based on your ALIVE stake.
rcaine,0.02567586,DHEDGE,Daily payout based on your ALIVE stake.
hive.pizza,0.0255424,DHEDGE,Daily payout based on your ALIVE stake.
lolz.alive,0.02421807,DHEDGE,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02409778,DHEDGE,Daily payout based on your ALIVE stake.
steem-holder,0.0235928,DHEDGE,Daily payout based on your ALIVE stake.
flaxz,0.02315168,DHEDGE,Daily payout based on your ALIVE stake.
ddn688,0.02268903,DHEDGE,Daily payout based on your ALIVE stake.
alokkumar121,0.02240918,DHEDGE,Daily payout based on your ALIVE stake.
chaosmagic23,0.02231797,DHEDGE,Daily payout based on your ALIVE stake.
elianaicgomes,0.02223318,DHEDGE,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02210411,DHEDGE,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02053795,DHEDGE,Daily payout based on your ALIVE stake.
magicalive,0.01943682,DHEDGE,Daily payout based on your ALIVE stake.
justclickindiva,0.0187924,DHEDGE,Daily payout based on your ALIVE stake.
newigennity,0.01876373,DHEDGE,Daily payout based on your ALIVE stake.
hankanon,0.01813903,DHEDGE,Daily payout based on your ALIVE stake.
stdd,0.01765692,DHEDGE,Daily payout based on your ALIVE stake.
raishmi,0.01739167,DHEDGE,Daily payout based on your ALIVE stake.
tydynrain,0.01664099,DHEDGE,Daily payout based on your ALIVE stake.
merthin,0.01656736,DHEDGE,Daily payout based on your ALIVE stake.
holovision.cash,0.01649572,DHEDGE,Daily payout based on your ALIVE stake.
beststart,0.01626889,DHEDGE,Daily payout based on your ALIVE stake.
